"DATE","TIME PERIOD","Bank interest rates - loans to corporations of over EUR 1M with an IRF period of over three months & up to one year (new business) - euro area  (MIR.M.U2.B.A2A.Q.R.1.2240.EUR.N)","Bank interest rates - loans to households for consumption (new business) - euro area  (MIR.M.U2.B.A2B.A.R.A.2250.EUR.N)","Bank interest rates - loans to households for house purchase with an IRF period of over ten years (new business) - euro area  (MIR.M.U2.B.A2C.P.R.A.2250.EUR.N)"
"2000-01-31","2000Jan","","8.0500"
"2000-02-29","2000Feb","","8.1400"
"2000-03-31","2000Mar","","8.2200"
"2000-04-30","2000Apr","","8.3100"
"2000-05-31","2000May","","8.5700"
"2000-06-30","2000Jun","","8.6700"
"2000-07-31","2000Jul","","8.7500"
"2000-08-31","2000Aug","","8.8300"
"2000-09-30","2000Sep","","8.8400"
"2000-10-31","2000Oct","","8.8800"
"2000-11-30","2000Nov","","8.9100"
"2000-12-31","2000Dec","","8.7400"
"2001-01-31","2001Jan","","8.6400"
"2001-02-28","2001Feb","","8.6100"
"2001-03-31","2001Mar","","8.5200"
"2001-04-30","2001Apr","","8.4800"
"2001-05-31","2001May","","8.5000"
"2001-06-30","2001Jun","","8.3500"
"2001-07-31","2001Jul","","8.3400"
"2001-08-31","2001Aug","","8.3000"
"2001-09-30","2001Sep","","8.0200"
"2001-10-31","2001Oct","","7.7600"
"2001-11-30","2001Nov","","7.6000"
"2001-12-31","2001Dec","","7.6300"
"2002-01-31","2002Jan","","7.7000"
"2002-02-28","2002Feb","","7.7800"
"2002-03-31","2002Mar","","7.8600"
"2002-04-30","2002Apr","","7.8900"
"2002-05-31","2002May","","7.9300"
"2002-06-30","2002Jun","","7.8800"
"2002-07-31","2002Jul","","7.7700"
"2002-08-31","2002Aug","","7.6600"
"2002-09-30","2002Sep","","7.5900"
"2002-10-31","2002Oct","","7.4700"
"2002-11-30","2002Nov","","7.4100"
"2002-12-31","2002Dec","","7.3000"
"2003-01-31","2003Jan","","7.3700","5.1600"
"2003-02-28","2003Feb","","7.4300","5.0700"
"2003-03-31","2003Mar","","7.3700","5.0200"
"2003-04-30","2003Apr","","7.4300","5.0100"
"2003-05-31","2003May","","7.4300","4.9000"
"2003-06-30","2003Jun","","7.2500","4.7800"
"2003-07-31","2003Jul","","7.2400","4.6600"
"2003-08-31","2003Aug","","7.2800","4.6700"
"2003-09-30","2003Sep","","7.1600","4.7300"
"2003-10-31","2003Oct","","7.1300","4.7800"
"2003-11-30","2003Nov","","7.1000","4.8400"
"2003-12-31","2003Dec","","6.9400","4.8900"
"2004-01-31","2004Jan","","7.4800","4.8600"
"2004-02-29","2004Feb","","7.3200","4.8300"
"2004-03-31","2004Mar","","7.2800","4.7500"
"2004-04-30","2004Apr","","7.1300","4.7400"
"2004-05-31","2004May","","7.1300","4.6700"
"2004-06-30","2004Jun","","7.1500","4.7100"
"2004-07-31","2004Jul","","7.2600","4.7100"
"2004-08-31","2004Aug","","7.3600","4.6700"
"2004-09-30","2004Sep","","7.2600","4.6700"
"2004-10-31","2004Oct","","7.1500","4.6400"
"2004-11-30","2004Nov","","7.1800","4.5900"
"2004-12-31","2004Dec","","6.9100","4.4300"
"2005-01-31","2005Jan","","7.2300","4.4500"
"2005-02-28","2005Feb","","6.9800","4.3300"
"2005-03-31","2005Mar","","7.0700","4.2800"
"2005-04-30","2005Apr","","7.0500","4.2900"
"2005-05-31","2005May","","7.0600","4.2000"
"2005-06-30","2005Jun","","6.9300","4.1100"
"2005-07-31","2005Jul","","7.0000","4.0600"
"2005-08-31","2005Aug","","7.1600","4.0100"
"2005-09-30","2005Sep","","6.9600","3.9700"
"2005-10-31","2005Oct","","6.9200","3.9600"
"2005-11-30","2005Nov","","6.8400","3.9800"
"2005-12-31","2005Dec","","6.7000","4.0100"
"2006-01-31","2006Jan","","7.0000","4.0700"
"2006-02-28","2006Feb","","6.8900","4.0700"
"2006-03-31","2006Mar","","6.8200","4.1100"
"2006-04-30","2006Apr","","6.9100","4.1700"
"2006-05-31","2006May","","6.8700","4.2000"
"2006-06-30","2006Jun","","6.8900","4.2500"
"2006-07-31","2006Jul","","7.0100","4.3500"
"2006-08-31","2006Aug","","7.2300","4.4000"
"2006-09-30","2006Sep","","7.1000","4.4500"
"2006-10-31","2006Oct","","6.9200","4.4700"
"2006-11-30","2006Nov","","7.0300","4.4700"
"2006-12-31","2006Dec","","6.9300","4.4900"
"2007-01-31","2007Jan","","7.4400","4.5100"
"2007-02-28","2007Feb","","7.4700","4.6100"
"2007-03-31","2007Mar","","7.4000","4.6200"
"2007-04-30","2007Apr","","7.4200","4.6700"
"2007-05-31","2007May","","7.5600","4.7500"
"2007-06-30","2007Jun","","7.5100","4.8200"
"2007-07-31","2007Jul","","7.5700","4.9100"
"2007-08-31","2007Aug","","7.7400","4.9100"
"2007-09-30","2007Sep","","7.7300","5.0200"
"2007-10-31","2007Oct","","7.7000","5.1200"
"2007-11-30","2007Nov","","7.7800","5.1100"
"2007-12-31","2007Dec","","7.6400","5.1900"
"2008-01-31","2008Jan","","7.7800","5.1400"
"2008-02-29","2008Feb","","7.9900","5.1200"
"2008-03-31","2008Mar","","7.8800","5.1100"
"2008-04-30","2008Apr","","7.8400","5.1200"
"2008-05-31","2008May","","7.9500","5.1300"
"2008-06-30","2008Jun","","7.8800","5.2000"
"2008-07-31","2008Jul","","8.0800","5.3400"
"2008-08-31","2008Aug","","8.1800","5.2600"
"2008-09-30","2008Sep","","8.1200","5.3700"
"2008-10-31","2008Oct","","8.1400","5.3700"
"2008-11-30","2008Nov","","8.1500","5.2800"
"2008-12-31","2008Dec","","7.7700","5.1300"
"2009-01-31","2009Jan","","7.8800","5.0000"
"2009-02-28","2009Feb","","7.6000","4.8900"
"2009-03-31","2009Mar","","7.3100","4.7300"
"2009-04-30","2009Apr","","7.2700","4.6900"
"2009-05-31","2009May","","7.3400","4.5800"
"2009-06-30","2009Jun","","7.0900","4.5800"
"2009-07-31","2009Jul","","7.2700","4.5400"
"2009-08-31","2009Aug","","7.3800","4.4500"
"2009-09-30","2009Sep","","7.2500","4.4500"
"2009-10-31","2009Oct","","7.1100","4.4000"
"2009-11-30","2009Nov","","6.9300","4.3200"
"2009-12-31","2009Dec","","6.6200","4.2600"
"2010-01-31","2010Jan","","6.9600","4.2600"
"2010-02-28","2010Feb","","6.8800","4.1800"
"2010-03-31","2010Mar","","6.7100","4.1500"
